log10(energy) [eV], effective area [m^2]
13.1, 8.247837e-06
13.2, 1.216988e-05
13.3, 1.558752e-05
13.4, 2.071643e-05
13.5, 2.720444e-05
13.6, 3.431885e-05
13.7, 4.365228e-05
13.8, 5.426400e-05
13.9, 6.601818e-05
14.0, 8.029637e-05
14.1, 9.362459e-05
14.2, 1.129117e-04
14.3, 1.310964e-04
14.4, 1.549010e-04
14.5, 1.773965e-04
14.6, 2.003019e-04
14.7, 2.269584e-04
14.8, 2.561252e-04
14.9, 2.866201e-04
15.0, 3.134913e-04
15.1, 3.481637e-04
15.2, 3.897520e-04
15.3, 4.302661e-04
15.4, 4.914510e-04
15.5, 5.234142e-04
15.6, 5.699959e-04
15.7, 6.197944e-04
15.8, 6.985736e-04
15.9, 7.389563e-04
16.0, 8.090023e-04
16.1, 8.583843e-04
16.2, 9.518100e-04
16.3, 1.083294e-03
16.4, 1.181024e-03
16.5, 1.210258e-03
16.6, 1.321193e-03
16.7, 1.454920e-03
16.8, 1.565797e-03
16.9, 1.626429e-03
17.0, 1.874239e-03
17.1, 1.998621e-03
17.2, 2.178293e-03
17.3, 2.428686e-03
17.4, 2.463812e-03
17.5, 2.842139e-03
17.6, 2.840149e-03
17.7, 3.192333e-03
17.8, 3.385514e-03
17.9, 3.790170e-03
18.0, 4.012241e-03
18.1, 4.356620e-03
18.2, 4.816215e-03
18.3, 5.115721e-03
18.4, 5.514269e-03
18.5, 5.977014e-03
18.6, 6.142697e-03
18.7, 6.980558e-03
18.8, 7.049617e-03
18.9, 8.175190e-03
19.0, 8.417690e-03
19.1, 9.647686e-03
19.2, 1.047851e-02
19.3, 1.024848e-02
19.4, 1.194159e-02
19.5, 1.288765e-02
19.6, 1.321651e-02
19.7, 1.531565e-02
19.8, 1.537726e-02
19.9, 1.695303e-02
20.0, 1.806499e-02
