log10(energy) [eV], deep veff*sr [km^3sr], deep aeff*sr [km^2sr], shallow veff*sr [km^3sr], shallow aeff*str [km^2sr]
15.0, 0.000000e+00, 0.000000e+00, 2.790814e-08, 1.532568e-12 
15.5, 2.877540e-04, 2.682432e-08, 3.791029e-05, 3.533982e-09 
16.0, 5.162349e-03, 7.860558e-07, 1.391584e-03, 2.118924e-07 
16.5, 8.974606e-02, 2.162488e-05, 2.119144e-02, 5.106213e-06 
17.0, 7.046026e-01, 2.616383e-04, 1.552667e-01, 5.765478e-05 
17.5, 3.240527e+00, 1.813119e-03, 5.873099e-01, 3.286078e-04 
18.0, 9.073894e+00, 7.503631e-03, 1.445095e+00, 1.195017e-03 
18.5, 1.794062e+01, 2.156251e-02, 2.653781e+00, 3.189531e-03 
19.0, 2.786132e+01, 4.795764e-02, 3.989329e+00, 6.866825e-03 
19.5, 3.692925e+01, 8.985953e-02, 5.178420e+00, 1.260059e-02 
20.0, 4.513341e+01, 1.534546e-01, 6.160299e+00, 2.094515e-02 
