czmin, deep aeff [km^2], shallow aeff [km^2]
1.000000, 2.469490e-05, 0.000000e+00 
0.900000, 9.328650e-05, 1.480045e-08 
0.800000, 5.280459e-04, 0.000000e+00 
0.700000, 1.359044e-03, 1.480035e-08 
0.600000, 1.668023e-03, 1.198458e-06 
0.500000, 1.760061e-03, 1.403344e-05 
0.400000, 1.743983e-03, 8.776876e-05 
0.300000, 1.663652e-03, 3.022673e-04 
0.200000, 1.536361e-03, 5.470226e-04 
0.100000, 1.269638e-03, 7.055328e-04 
0.000000, 2.895105e-04, 2.354978e-04 
-0.100000, 6.034893e-06, 8.428399e-06 
-0.200000, 6.386588e-08, 1.487094e-07 
-0.300000, 3.838255e-10, 9.998944e-10 
-0.400000, 0.000000e+00, 0.000000e+00 
-0.500000, 0.000000e+00, 0.000000e+00 
-0.600000, 0.000000e+00, 0.000000e+00 
-0.700000, 0.000000e+00, 0.000000e+00 
-0.800000, 0.000000e+00, 0.000000e+00 
-0.900000, 0.000000e+00, 0.000000e+00 
